"Index","TRSGX.Open","TRSGX.High","TRSGX.Low","TRSGX.Close","TRSGX.Volume","TRSGX.Adjusted"
2010-12-06,22.82,22.82,22.82,22.82,0,17.459053
2010-12-07,22.799999,22.799999,22.799999,22.799999,0,17.443751
2010-12-08,22.82,22.82,22.82,22.82,0,17.459053
2010-12-09,22.889999,22.889999,22.889999,22.889999,0,17.512608
2010-12-10,22.98,22.98,22.98,22.98,0,17.581465
2010-12-13,22.66,22.66,22.66,22.66,0,17.620345
2010-12-14,22.65,22.65,22.65,22.65,0,17.612569
2010-12-15,22.48,22.48,22.48,22.48,0,17.480378
2010-12-16,22.58,22.58,22.58,22.58,0,17.558138
2010-12-17,22.59,22.59,22.59,22.59,0,17.565914
2010-12-20,22.66,22.66,22.66,22.66,0,17.620345
2010-12-21,22.83,22.83,22.83,22.83,0,17.752537
2010-12-22,22.889999,22.889999,22.889999,22.889999,0,17.799192
2010-12-23,22.85,22.85,22.85,22.85,0,17.768089
2010-12-27,22.860001,22.860001,22.860001,22.860001,0,17.775865
2010-12-28,22.84,22.84,22.84,22.84,0,17.760313
2010-12-29,22.93,22.93,22.93,22.93,0,17.830297
2010-12-30,22.9,22.9,22.9,22.9,0,17.806969
2010-12-31,22.91,22.91,22.91,22.91,0,17.814745
2011-01-03,23.16,23.16,23.16,23.16,0,18.009144
2011-01-04,23.1,23.1,23.1,23.1,0,17.962488
2011-01-05,23.18,23.18,23.18,23.18,0,18.024696
2011-01-06,23.120001,23.120001,23.120001,23.120001,0,17.978041
2011-01-07,23.09,23.09,23.09,23.09,0,17.954712
2011-01-10,23.059999,23.059999,23.059999,23.059999,0,17.931384
2011-01-11,23.18,23.18,23.18,23.18,0,18.024696
2011-01-12,23.389999,23.389999,23.389999,23.389999,0,18.187991
2011-01-13,23.4,23.4,23.4,23.4,0,18.195767
2011-01-14,23.549999,23.549999,23.549999,23.549999,0,18.312406
2011-01-18,23.6,23.6,23.6,23.6,0,18.351287
2011-01-19,23.360001,23.360001,23.360001,23.360001,0,18.164664
2011-01-20,23.25,23.25,23.25,23.25,0,18.079128
2011-01-21,23.27,23.27,23.27,23.27,0,18.09468
2011-01-24,23.4,23.4,23.4,23.4,0,18.195767
2011-01-25,23.389999,23.389999,23.389999,23.389999,0,18.187991
2011-01-26,23.51,23.51,23.51,23.51,0,18.281303
2011-01-27,23.58,23.58,23.58,23.58,0,18.335735
2011-01-28,23.190001,23.190001,23.190001,23.190001,0,18.032472
2011-01-31,23.190001,23.190001,23.190001,23.190001,0,18.032472
2011-02-01,23.74,23.74,23.74,23.74,0,18.46015
2011-02-02,23.700001,23.700001,23.700001,23.700001,0,18.429047
2011-02-03,23.709999,23.709999,23.709999,23.709999,0,18.436822
2011-02-04,23.74,23.74,23.74,23.74,0,18.46015
2011-02-07,23.860001,23.860001,23.860001,23.860001,0,18.553462
2011-02-08,23.950001,23.950001,23.950001,23.950001,0,18.623446
2011-02-09,23.92,23.92,23.92,23.92,0,18.600118
2011-02-10,23.940001,23.940001,23.940001,23.940001,0,18.61567
