"Index","VGSTX.Open","VGSTX.High","VGSTX.Low","VGSTX.Close","VGSTX.Volume","VGSTX.Adjusted"
2013-07-11,22.370001,22.370001,22.370001,22.370001,0,19.054165
2013-07-12,22.389999,22.389999,22.389999,22.389999,0,19.071199
2013-07-15,22.459999,22.459999,22.459999,22.459999,0,19.130823
2013-07-16,22.43,22.43,22.43,22.43,0,19.105271
2013-07-17,22.49,22.49,22.49,22.49,0,19.156376
2013-07-18,22.540001,22.540001,22.540001,22.540001,0,19.198966
2013-07-19,22.59,22.59,22.59,22.59,0,19.241554
2013-07-22,22.639999,22.639999,22.639999,22.639999,0,19.284142
2013-07-23,22.620001,22.620001,22.620001,22.620001,0,19.267108
2013-07-24,22.540001,22.540001,22.540001,22.540001,0,19.198966
2013-07-25,22.610001,22.610001,22.610001,22.610001,0,19.25859
2013-07-26,22.59,22.59,22.59,22.59,0,19.241554
2013-07-29,22.51,22.51,22.51,22.51,0,19.173412
2013-07-30,22.52,22.52,22.52,22.52,0,19.18193
2013-07-31,22.549999,22.549999,22.549999,22.549999,0,19.207482
2013-08-01,22.700001,22.700001,22.700001,22.700001,0,19.33525
2013-08-02,22.790001,22.790001,22.790001,22.790001,0,19.411909
2013-08-05,22.77,22.77,22.77,22.77,0,19.394873
2013-08-06,22.690001,22.690001,22.690001,22.690001,0,19.326732
2013-08-07,22.65,22.65,22.65,22.65,0,19.29266
2013-08-08,22.74,22.74,22.74,22.74,0,19.36932
2013-08-09,22.73,22.73,22.73,22.73,0,19.360802
2013-08-12,22.709999,22.709999,22.709999,22.709999,0,19.343766
2013-08-13,22.709999,22.709999,22.709999,22.709999,0,19.343766
2013-08-14,22.67,22.67,22.67,22.67,0,19.309696
2013-08-15,22.459999,22.459999,22.459999,22.459999,0,19.130823
2013-08-16,22.42,22.42,22.42,22.42,0,19.096753
2013-08-19,22.290001,22.290001,22.290001,22.290001,0,18.986023
2013-08-20,22.360001,22.360001,22.360001,22.360001,0,19.045647
2013-08-21,22.209999,22.209999,22.209999,22.209999,0,18.917879
2013-08-22,22.360001,22.360001,22.360001,22.360001,0,19.045647
2013-08-23,22.469999,22.469999,22.469999,22.469999,0,19.139341
2013-08-26,22.450001,22.450001,22.450001,22.450001,0,19.122306
2013-08-27,22.219999,22.219999,22.219999,22.219999,0,18.926397
2013-08-28,22.219999,22.219999,22.219999,22.219999,0,18.926397
2013-08-29,22.290001,22.290001,22.290001,22.290001,0,18.986023
2013-08-30,22.200001,22.200001,22.200001,22.200001,0,18.909363
2013-09-03,22.290001,22.290001,22.290001,22.290001,0,18.986023
2013-09-04,22.370001,22.370001,22.370001,22.370001,0,19.054165
2013-09-05,22.35,22.35,22.35,22.35,0,19.037129
2013-09-06,22.41,22.41,22.41,22.41,0,19.088235
2013-09-09,22.59,22.59,22.59,22.59,0,19.241554
2013-09-10,22.719999,22.719999,22.719999,22.719999,0,19.352284
2013-09-11,22.809999,22.809999,22.809999,22.809999,0,19.428944
2013-09-12,22.74,22.74,22.74,22.74,0,19.36932
2013-09-13,22.790001,22.790001,22.790001,22.790001,0,19.411909
2013-09-16,22.879999,22.879999,22.879999,22.879999,0,19.488567
2013-09-17,22.950001,22.950001,22.950001,22.950001,0,19.548193
2013-09-18,23.23,23.23,23.23,23.23,0,19.786688
2013-09-19,23.190001,23.190001,23.190001,23.190001,0,19.752618
2013-09-20,23.110001,23.110001,23.110001,23.110001,0,19.684476
2013-09-23,23.059999,23.059999,23.059999,23.059999,0,19.641887
2013-09-24,23.08,23.08,23.08,23.08,0,19.658923
2013-09-25,23.08,23.08,23.08,23.08,0,19.658923
